"Astrocyte","Excitatory.neuron..early.","Excitatory.neuron..late.","Glial.progenitor.cell","Inhibitory.neuron","Intermediate.progenitor","OPC","OPC..dividing.","Oligodendrocyte","Outer.radial.glia","Pericyte","Pre.OPC","Radial.glia..G2M.phase.","Radial.glia..S.phase.","Subcortical.neuron","Vascular.cell","Ventricular.radial.glia"
"NTRK2","SOX11","LRRC7","DBI","DLX6-AS1","EOMES","PDGFRA","LHFPL3","BCAS1","GPX3","SPINT2","OLIG1","CENPF","DTL","ZIC1","LAMB1","LTBP1"
"ATP1A2","MLLT3","NEUROD2","CST3","NRXN3","SSTR2","PCDH15","CNTN1","GPR17","PEA15","NEFM","ETV1","NUSAP1","HELLS","IGFBPL1","AHNAK","VIM"
"EDNRB","LRP8","SEMA3C","SDC3","DCX","PPP1R17","CNTN1","PDGFRA","MYRF","FAM107A","PCP4","HIP1","MKI67","CDCA7","RYR3","LAMC1","CCN1"
"GJA1","IGFBPL1","EPHA3","TRIB2","DLX2","IGFBPL1","LHFPL3","PCDH15","UGT8","GLI3","EBF1","TNK2","TOP2A","UHRF1","MAB21L1","COL1A2","ADGRV1"
"PTN","ENC1","MYT1L","TNC","STMN2","LRP8","SOX10","LINC00643","LIMS2","SFRP1","NEFL","EGFR","TPX2","TUBA1B","PAX3","TGFBR2","CLU"
"CST3","UNC5D","TBR1","EGFR","DLX6","ENC1","OLIG1","SOX10","SIRT2","MOXD1","PCSK2","LRRN1","PIMREG","MMS22L","ZIC2","NID2","CXCL12"
"SPON1","SOX4","NRP1","C1orf61","DLX5","CORO1C","TNR","TNR","SOX10","FABP7","ADCY1","DSEL","DLGAP5","PCLAF","CHD7","COL4A2","CNN3"
"AQP4","NEUROD2","RBFOX1","PTN","PLS3","SOX4","PCDHGC3","OPCML","CLDN11","DOK5","NSG1","NOVA1","HMGB2","MCM3","EBF3","COL3A1","SOX9"
"CLU","SORBS2","MLLT3","HOPX","ERBB4","MIR99AHG","OPCML","PCDHGC3","TNR","SLCO1C1","RAPGEF5","MAP3K1","PTTG1","MCM2","RELN","IFITM2","TAGLN2"
"DTNA","SSTR2","SLA","ETV1","SOX11","IVNS1ABP","CSPG4","OLIG1","TUBB4A","SLC1A3","UNC5C","ACTN2","ASPM","PCNA","UNC5C","COL4A1","ZFP36"
"S1PR1","SEZ6","STMN2","RFX4","DLX1","SOX11","EPN2","ARL4A","EPB41L2","TNC","PCSK1N","OLIG2","BIRC5","HMGN2","MEIS1","SPARC","GPX3"
"SLC6A11","CNR1","ISLR2","PTPRZ1","TCF4","ELAVL4","SPRY4","KIF18B","TNS3","VIM","MTUS2","CD82","BUB1","RRM1","CBFA2T2","NR4A2","NEDD9"
"ZFP36L1","TBR1","SATB2","ATP1B2","NSG2","UNC5D","GPR17","CSPG4","SIRT2","LRRC3B","INA","BCAN","KIF4A","ATAD2","SEMA6A","ITGA1","GLI3"
"ATP1B2","AC090740.1","SOX11","SLC1A3","SOX4","NHLH1","APOD","SPRY4","CNP","TMEM132B","SNCB","IGSF9B","PRC1","RRM2","KCNJ6","RBMS3","ZFP36L1"
"MFGE8","DISP3","NEUROD6","ARHGEF26","GAD1","GRAMD1B","PTPRZ1","LUZP2","WASF1","FABP5","NYAP2","LUZP2","KIF2C","DHFR","MYO16","IFITM3","MID1"
"MLC1","ROBO2","KIAA1324","PLEKHH2","MYT1L","MLLT3","PDE4B","SCN1A","TF","CLU","CA8","MEST","RACGAP1","HMGB2","ZIC3","LAMA4","LIPG"
"SLC1A3","NFIB","DISP3","ZFP36L1","NREP","HES6","S100B","MMP16","NFASC","ADGRV1","SYN3","AC090692.1","SMC4","MCM4","MAML3","ADGRA2","ITGB8"
"SPARCL1","RASGEF1B","UNC5D","LRIG1","PFN2","CASC15","LINC00643","GPR17","PLXNB3","LIPG","CALML3-AS1","NKD1","CDC20","KNTC1","ZNF423","ARPC1B","CDON"
"GABBR2","CASC15","PLXNA4","VIM","ST8SIA5","CNR1","LRRC4C","LRRC4C","TNS2","PTN","UCHL1","DSCAM","CCNB2","NNAT","GSE1","COL1A1","PAX6"
"PLPP3","ZNF423","MIAT","PON2","MAP1B","EPHA3","SEMA5A","C2orf27A","CADM2","S1PR1","L1CAM","TCF12","KIF11","HMGB1","NEUROD1","PHLDB2","SPARC"
"PLXDC2","ISLR2","TTC28","SEZ6L","LHX6","FOXP4","MMP16","PDE4B","TMOD1","NRG1","CPLX2","SLIT1","UBE2C","AC011603.3","NDST3","STARD13","FSTL1"
"TFPI","LRRC7","YWHAZ","F3","SLC32A1","MFAP2","LUZP2","DNM3","KANK1","LTBP1","MDGA1","EPN2","CKAP2","FANCD2","GREB1L","ADAMTS9","NRG1"
"TTYH1","DDAH2","RBFOX2","ATP1A2","BCL11A","TTYH2","LRP1B","UGT8","GLRA3","ATP1B2","CNTNAP5","REV3L","KNL1","TYMS","RCAN3","COL12A1","EZR"
"PLTP","DDAH2","SRRM4","B2M","PDE4DIP","HECW1","GRIA2","SEMA5A","TNFRSF21","ATP1A2","KCNIP4","ZEB1","CCNB1","GINS2","DCC","COL5A2","GFAP"
"AC007325.2","MYT1L","AC090740.1","ETV4","MIAT","SYNE2","CA10","DTL","STRN","NOTCH2","CNTNAP2","KCND3","PLK1","MCM7","CDK6","ABCA8","SAMD4A"
"CYP26B1","CORO1C","LRP8","MAP3K1","NMNAT2","ROBO2","TRIO","SLITRK3","SLC44A1","DIO2","MARCHF4","PDGFRA","TROAP","E2F7","NELL2","SPTBN1","GAB1"
"ADCYAP1R1","MIR99AHG","MN1","ITGA7","AC018470.1","AGO1","KANK1","RRM2","TCF7L2","LHX2","AC009084.2","LDLRAD3","NUF2","NUSAP1","FSTL4","AFAP1L2","LINC01965"
"NDRG2","MIAT","RBFOX2","DPF3","MLLT11","NEUROD4","NCALD","KNL1","APOD","TCIM","AC012409.2","MAML2","CKAP2L","CENPU","GRIN2B","ECE1","TFAP2C"
"GPM6B","DDAH2","ENC1","RAB31","TMSB10","PANTR1","SCN1A","PTPRZ1","SCRG1","MRC2","GAP43","SCD5","KIFC1","TIMELESS","NHLH1","DLC1","TCIM"
"FAT3","PPP1R17","NPAS4","ETV5","PDZRN3","ZNF423","SCD5","EPN2","MBP","PRDM16","NXPH4","EEF1A1","HMGN2","RAD51AP1","NREP","DHRS3","AKAP12"
"SLC4A4","EPHA3","PLXNA2","MRC2","SRRM4","CBFA2T2","PMP2","LIG1","LSAMP","FSTL1","MEG3","DBI","CENPE","SYNE2","NFIB","S100A11","LIMCH1"
"GFAP","CELF3","TUBA1A","B2M","ZEB2","SEZ6","ARL4A","ALCAM","SGK1","HOPX","RAB3A","NCOR2","ARL6IP1","DNMT1","GPRIN3","NR3C1","PEA15"
"TNC","DDAH2","SORBS1","MT-RNR2","STMN1","WIPF3","OMG","OLIG2","PPP1R16B","MEGF10","ITPR1","PTPRZ1","TUBA1B","CDC6","BTBD3","NR2F2","SLC2A3"
"GDPD2","DDAH2","CELF3","TGFB2","DPYSL3","DISP3","CSMD3","BRINP3","SEMA5A","EEPD1","ST8SIA3","CLIP2","GTSE1","PTMA","ZIC4","HSPG2","HES1"
"SEMA6A","DDAH2","SRGAP1","SLC1A2","TUBA1A","AL589740.1","SCRG1","DHFR","AC006058.4","AKAP12","HRH2","SEZ6L","PBK","CLSPN","ANKS1A","GSN","ANXA1"
"ADGRG1","RBFOX2","SYT4","SPATA6","MEG3","LHX2","LIMA1","CCND1","SMOC1","AC131571.1","RASGRF1","CEROX1","ECT2","POLA1","HSP90AB1","WWTR1","CRYAB"
"MGST1","DDAH2","PALMD","OLIG1","RUNX1T1","KIF26B","BCHE","SULF2","SCARB1","EZR","TENM2","CHD7","NDC80","ZWINT","AFF3","LAMA2","IGFBP5"
"LRIG1","NREP","NFASC","BCAN","DSCAML1","PENK","DOCK10","GRIK2","PTPRO","AXL","GABRB2","KCNQ1OT1","HMGB1","ADGRV1","ZBTB18","NID1","SFRP1"
"RFX4","MN1","CD24","OLIG2","CRACD","PALM2AKAP2","OLIG2","GABRA3","SEMA6D","CRB2","LHX1","DUSP10","CKS2","SMC4","PRICKLE2","UTRN","CSF1"
"APOE","TUBA1A","IGFBPL1","SPRY4","MAF","BCL11A","NOVA1","S100B","PKP4","AIF1L","KITLG","DOCK10","CCNA2","DEK","NOVA2","MATN2","SHROOM3"
"MASP1","SORBS1","ROBO2","NFKBIZ","MTSS1","TMEM108","IGSF9B","FANCD2","ATCAY","CDO1","DUX4L50","PCDHGC3","ANP32E","MCM10","SRRM4","LINC01943","IFITM3"
"HYDIN","STMN2","EPHA5","LDLRAD3","RIPOR2","MEIS2","LRP1","PLEKHH2","GALNT13","MLC1","EBF3","JMJD1C","NCAPG","CCND2","DACH1","USP53","DOK5"
"BMPR1B","MEIS2","TUBB3","GFAP","TUBB3","TBR1","UGDH","NCAPH","NKX2-2","PSAT1","SKOR1","SMOC1","HJURP","CENPK","BARHL1","COL5A1","MFAP2"
"WLS","PPP2R2B","TENM4","NOVA1","INA","EZR","NTRK3","PROM1","RNF144A","SEPTIN11","PTPN5","CCND1","BUB1B","WDR76","EPHA7","MCAM","PRDM16"
"TTYH1","GRAMD1B","SMPD3","SOX9","AC241952.2","NEDD4L","SIRT2","OMG","FYN","NCAN","ITGA3","NHSL1","CKAP5","PAICS","AFAP1","PMP22","FOS"
"NEAT1","KCNQ3","NREP","CCDC80","CD24","TENM4","GRIK2","NXPH1","PLPPR1","TAGLN2","MEF2C","ETV5","KIF23","CDK2","RBFOX3","PALM2AKAP2","SOCS3"
"HIF3A","RBFOX2","CELSR3","ZFP36","DAPK1","LDB1","MYT1","DOCK10","OPCML","PAX6","BTBD8","RFX4","KIF18B","NCAPG","PLXDC2","CRYBG3","ANXA2"
"PAX3","TUBB","SYT1","LUZP2","CELF3","CCDC88C","SULF2","KCND2","EVI2A","NOTCH2NLA","RIMS2","PCDH15","SGO1","HMGB1P5","PLEKHA6","RBMS1","PSRC1"
"LUZP2","EZR","IGSF3","LGALS3","RBFOX2","ELAVL2","NKX2-2","MCM4","PCDH11X","CD99","LY6H","ABLIM1","CDK1","GAPDH","FRMD4A","EPAS1","FBXO32"
"FP236383.17","PLXNA2","STXBP1","DCLK2","PDE4D","SCRN1","GPM6A","CALCRL","FRMD4B","LINC01965","OBSCN","SERINC5","KIF18A","H2AZ1","SLC6A15","ENDOD1","GPC4"
